hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,previous_day_admission_adult_covid_confirmed_80+_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ED_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18-19_7_day_sum,previous_day_admission_adult_covid_suspected_20-29_7_day_sum,previous_day_admission_adult_covid_suspected_30-39_7_day_sum,previous_day_admission_adult_covid_suspected_40-49_7_day_sum,previous_day_admission_adult_covid_suspected_50-59_7_day_sum,previous_day_admission_adult_covid_suspected_60-69_7_day_sum,previous_day_admission_adult_covid_suspected_70-79_7_day_sum,previous_day_admission_adult_covid_suspected_80+_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ED_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_personnel_covid_vaccinated_doses_administered_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day,is_corrected
400013,2021/06/04,PR,400013,HOSPITAL MENONITA DE CAYEY,BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14,CAYEY,00737,Short Term,72035,true,262,205.7,205.7,163.4,151.6,-999999,-999999,0,0,225.7,22,8,11.4,6.7,0,0,0,0,0,1834,1440,1440,1144,1061,-999999,-999999,0,0,1580,154,56,80,47,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,752,0,,[C400013-A],7,7,7,7,,,,,,,false
400113,2021/06/04,PR,400113,HOSPITAL SAN CRISTOBAL,CARR 506 KM 1 0,COTO LAUREL,00780,Short Term,72113,true,138,114.6,114.6,57.3,55,-999999,0,0,0,134.9,21,9,10.6,8.9,0,0,-999999,0,0,966,802,802,401,385,-999999,0,0,0,944,147,63,74,62,0,0,-999999,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,-999999,-999999,0,0,0,0,0,0,-999999,0,0,0,419,0,,[C400113-A],7,7,7,7,,,,,,,false
400120,2021/05/28,PR,400120,HIMA SAN PABLO-CAGUAS,100 AVE LUIS MUNOZ MARIN,CAGUAS,00725,Short Term,72025,true,440,314.9,314.9,206.6,180,-999999,-999999,0,0,413.9,55.7,32,29.9,21,-999999,-999999,0,0,0,3080,2204,2204,1446,1260,13,7,0,0,2897,390,224,209,147,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,608,0,,[C400120-A],7,7,7,7,,,,,,,false
400110,2021/06/11,PR,400110,HOSPITAL METROPOLITANO DR TITO MATTEI,ROAD 128 KM 1.0,YAUCO,00698,Short Term,72153,true,186,66,66,34,34,0,0,0,0,72,11,11,7.3,7.3,0,0,0,0,0,1302,462,462,238,238,0,0,0,0,504,77,77,51,51,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,362,0,,[C400110-A],7,7,7,7,,,,,,,false
400015,2021/05/28,PR,400015,SAN JUAN MUNICIPAL HOSPITAL,"BARRIO MONACILLOS,CENTRO MEDICO",RIO PIEDRAS,00936,Short Term,72127,true,450,78.6,78.6,60.9,42.9,-999999,0,-999999,-999999,107,21.1,9.9,11,4.7,-999999,0,0,0,0,3150,550,550,426,300,-999999,0,-999999,-999999,749,148,69,77,33,-999999,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,-999999,-999999,-999999,0,0,0,0,0,-999999,0,0,0,0,119,0,,[C400015-A],7,7,7,7,,,,,,,false
403301,2021/06/11,PR,403301,UNIVERSITY PEDIATRIC HOSPITAL,PUERTO RICO MEDICAL CENTER IN RIO PIEDRAS,SAN JUAN,00935,Childrens Hospitals,72127,true,215,0,0,92.1,0,0,0,-999999,-999999,119,50,0,38.4,0,0,0,0,0,0,1505,0,0,645,0,0,0,-999999,-999999,833,350,0,269,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,,[C403301-A],7,7,7,7,,,,,,,false
400003,2021/05/28,PR,400003,HOSPITAL METROPOLITANO DR PILA,2435 LAS AMERICAS AVE,PONCE,00733,Short Term,72113,true,183,99.1,99.1,45.9,44.4,0,0,0,0,108.1,13,8,6.9,5.9,0,0,-999999,-999999,0,1281,694,694,321,311,0,0,0,0,757,91,56,48,41,0,0,-999999,-999999,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,421,-999999,,[C400003-A],7,7,7,7,336,36,336,336,0,0,false
400118,2021/06/11,PR,400118,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7",MANATI,00674,Short Term,72091,true,270,229,229,213.3,193.4,-999999,-999999,-999999,0,259.7,13.1,13,13,13,0,0,-999999,0,0,1890,1603,1603,1493,1354,15,13,-999999,0,1818,92,91,91,91,0,0,-999999,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,0,897,0,,[C400118-A],7,7,7,7,,,,,,,false
400135,2021/05/28,PR,400135,HOSPITAL DEL CENTRO COMPRENSIVO DE CANCER,PR 21 INT PR 18 BO MONACILLOS URBANO,SAN JUAN,00927,Short Term,72127,true,96,29,29,5.4,5.4,0,0,0,0,29,5,5,0,0,0,0,0,0,0,672,203,203,38,38,0,0,0,0,203,35,35,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,[C400135-A],7,7,7,7,,,,,,,false
400117,2021/06/04,PR,400117,HOSPITAL DR SUSONI INC,55 PALM ST,ARECIBO,00614,Short Term,72013,true,138,138,138,66.6,66.6,-999999,-999999,0,0,138,6.1,6,6,6,0,0,0,0,0,966,966,966,466,466,-999999,-999999,0,0,966,43,42,42,42,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,368,0,,[C400117-A],7,7,7,7,,,,,,,false
400005,2021/05/28,PR,400005,HIMA SAN PABLO HUMACAO,CALLE FONT MARTELO #3,HUMACAO,00791,Short Term,72069,true,105,34,34,21.7,21.7,0,0,0,0,48,6.6,6.6,-999999,-999999,0,0,0,0,0,735,238,238,152,152,0,0,0,0,336,46,46,27,27,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,,[C400005-A],7,7,7,7,,,,,,,false
400104,2021/06/11,PR,400104,HOSPITAL MENONITA CAGUAS INC,CARR 172  EXIT 21 URB TURABO GARDENS,CAGUAS,00725,Short Term,72025,true,373,186.1,186.1,169.6,162.6,-999999,-999999,0,0,198,18.9,11.9,14.1,10.6,-999999,-999999,0,0,0,2611,1303,1303,1187,1138,10,10,0,0,1386,132,83,99,74,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,537,0,,[C400104-A],7,7,7,7,,,,,,,false
400032,2021/05/28,PR,400032,BAYAMON MEDICAL CENTER,CARRETERA #2 KM 11 7,BAYAMON,00960,Short Term,72021,true,551,284,284,254.3,198.7,4.4,-999999,10.4,-999999,408.9,36.6,15.9,22.7,14.6,-999999,-999999,4,0,0,3857,1988,1988,1780,1391,31,26,73,7,2862,256,111,159,102,9,6,28,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,-999999,0,-999999,0,0,0,0,0,114,-999999,-999999,0,0,0,0,-999999,-999999,0,0,31,653,-999999,,"[C400032-B, H000012, C400032-A, C400032-C, C400032-D]",7,7,7,7,,,,,,,false
400022,2021/06/04,PR,400022,HOSPITAL DAMAS INC,PONCE BY PASS #2213,PONCE,00717,Short Term,72113,true,331,133.4,133.4,88.7,88.7,0,0,0,0,139.4,32,25,14.1,13.3,0,0,0,0,0,2317,934,934,621,621,0,0,0,0,976,224,175,99,93,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,456,0,,[C400022-A],7,7,7,7,568,76,0,568,,,false
400015,2021/06/11,PR,400015,SAN JUAN MUNICIPAL HOSPITAL,"BARRIO MONACILLOS,CENTRO MEDICO",RIO PIEDRAS,00936,Short Term,72127,true,450,89.3,89.3,61,46.4,-999999,-999999,-999999,-999999,117.3,19,7.4,8.7,-999999,0,0,0,0,0,3150,625,625,427,325,8,4,4,4,821,133,52,61,12,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,-999999,0,0,0,0,0,0,0,0,-999999,-999999,0,0,-999999,0,-999999,0,0,0,0,0,108,0,,[C400015-A],7,7,7,7,,,,,,,false
400131,2021/05/28,PR,400131,CARIBBEAN MEDICAL CENTER,151 AVE OSVALDO MOLINA,FAJARDO,00738,Short Term,72053,true,73,64.7,64.7,46.6,38.6,-999999,-999999,0,0,72.7,-999999,-999999,-999999,-999999,-999999,-999999,0,0,0,511,453,453,326,270,21,11,0,0,509,21,21,13,13,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,-999999,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,422,0,,[C400131-A],7,7,7,7,,,,,,,false
400098,2021/05/28,PR,400098,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN,00923,Short Term,72127,true,160,133,133,56,52.1,-999999,-999999,-999999,0,160,14.4,9.1,4.4,4.1,-999999,0,0,0,0,1120,931,931,392,365,8,6,7,0,1120,101,64,31,29,7,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,427,0,,[C400098-A],7,7,7,7,,,,,,,false
400012,2021/05/28,PR,400012,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,BO. MONACILLOS CARR 22 CENTRO MEDICO DE PUERTO RIC,SAN JUAN,00935,Short Term,72127,true,140,62.6,62.6,24.9,24.9,-999999,0,0,0,62.6,5,5,-999999,-999999,0,0,0,0,0,980,438,438,174,174,7,0,0,0,438,35,35,24,24,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"[C400012-B, C400012-A]",7,7,7,7,,,,,,,false
400014,2021/05/28,PR,400014,BELLA VISTA HOSPITAL,CARR 349 KM 2 7 CERRO LAS MESAS,MAYAGUEZ,00681,Short Term,72097,true,224,145.7,145.7,57.7,55.6,-999999,-999999,-999999,0,159.7,9,9,5.4,5.4,-999999,-999999,0,0,0,1568,1020,1020,404,389,10,10,-999999,0,1118,63,63,38,38,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,261,0,,[C400014-A],7,7,7,7,,,,,,,false
400016,2021/06/04,PR,400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,00918,Short Term,72127,true,659,374.1,374.1,279.7,255.3,-999999,-999999,0,0,443.6,70,41,36.1,28,-999999,-999999,0,0,0,4613,2619,2619,1958,1787,23,22,0,0,3105,490,287,253,196,15,15,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,,[C400016-A],7,7,7,7,,,,,,,false
400135,2021/06/04,PR,400135,HOSPITAL DEL CENTRO COMPRENSIVO DE CANCER,PR 21 INT PR 18 BO MONACILLOS URBANO,SAN JUAN,00927,Short Term,72127,true,96,29,29,6.6,6.6,0,0,0,0,29,5,5,-999999,-999999,0,0,0,0,0,672,203,203,46,46,0,0,0,0,203,35,35,-999999,-999999,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,,[C400135-A],7,7,7,7,,,,,,,false
400048,2021/06/04,PR,400048,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,00785,Short Term,72059,true,161,107.4,107.4,72.1,64,-999999,-999999,0,0,125.4,8,8,6.9,6.9,0,0,-999999,0,0,1127,752,752,505,448,-999999,-999999,0,0,878,56,56,48,48,0,0,-999999,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,-999999,0,0,0,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,727,0,,[C400048-A],7,7,7,7,,,,,,,false
400021,2021/06/11,PR,400021,HOSPITAL DE LA CONCEPCION,ROAD NUMBER 2 KM 173.4 CAIN ALTO,SAN GERMAN,00683,Short Term,72125,true,187,135.6,135.6,98.6,95.9,-999999,-999999,-999999,-999999,144.9,28.9,12,15.1,9.6,-999999,-999999,-999999,0,0,1309,949,949,690,671,7,7,-999999,-999999,1014,202,84,106,67,6,6,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,-999999,694,-999999,,[C400021-A],7,7,7,7,,,,,,,false
400127,2021/05/28,PR,400127,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,BO MONACILLO CARR NUM 22,SAN JUAN,00935,Short Term,72127,true,92,85.6,85.6,67,67,-999999,-999999,0,0,85.6,24.7,24.7,24.7,24.7,0,0,0,0,0,644,599,599,469,469,-999999,-999999,0,0,599,173,173,173,173,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,-999999,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,557,0,,[C400127-A],7,7,7,7,,,,,,,false
400019,2021/06/04,PR,400019,HOSPITAL PAVIA SANTURCE,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,FERNANDEZ JUNCOS,00910,Short Term,72127,true,247,142.4,142.4,121.6,121.6,-999999,-999999,-999999,-999999,142.4,19.6,15.4,15.3,13.9,-999999,-999999,-999999,0,0,1729,997,997,851,851,11,10,-999999,-999999,997,137,108,107,97,4,4,5,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,-999999,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,389,-999999,,[C400019-A],7,7,7,7,-999999,114,918,890,4,37,false
400007,2021/06/04,PR,400007,RYDER MEMORIAL HOSPITAL INC,355 AVE FONT MARTELO,HUMACAO,00791,Short Term,72069,true,167,131.1,131.1,70.3,61.7,0,0,0,0,165.1,14.9,8.4,12.6,7.7,0,0,0,0,0,1169,918,918,492,432,0,0,0,0,1156,104,59,88,54,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,323,0,,[C400007-A],7,7,7,7,,,,,,,false
400117,2021/05/28,PR,400117,HOSPITAL DR SUSONI INC,55 PALM ST,ARECIBO,00614,Short Term,72013,true,138,122.3,122.3,66.1,64,-999999,-999999,0,0,124.4,6,6,4.6,4.6,0,0,0,0,0,966,856,856,463,448,4,4,0,0,871,42,42,32,32,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,,[C400117-A],7,7,7,7,,,,,23,23,false
400110,2021/06/04,PR,400110,HOSPITAL METROPOLITANO DR TITO MATTEI,ROAD 128 KM 1.0,YAUCO,00698,Short Term,72153,true,186,69.1,69.1,39.4,37.6,-999999,-999999,0,0,74.9,11,11,5.3,5.3,0,0,0,0,0,1302,484,484,276,263,4,4,0,0,524,77,77,37,37,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,264,0,,[C400110-A],7,7,7,7,,,,,,,false
400106,2021/06/04,PR,400106,METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,00915,Short Term,72127,true,180,99,99,43,37.9,-999999,0,-999999,-999999,130.6,5,5,-999999,-999999,0,0,0,0,0,1260,693,693,301,265,-999999,0,-999999,-999999,914,35,35,21,21,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,34,-999999,0,0,0,0,0,0,0,-999999,0,0,446,0,,[C400106-A],7,7,7,7,,,,,,,false
400102,2021/06/04,PR,400102,DOCTORS CENTER HOSPITAL BAYAMON,9 J STREET EXT HERMANAS DAVILA,BAYAMON,00959,Short Term,72021,true,146,146,146,142.1,142.1,5.7,-999999,0,0,146,6,6,6,6,0,0,0,0,0,1022,1022,1022,995,995,40,8,0,0,1022,42,42,42,42,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,4,-999999,-999999,-999999,-999999,-999999,0,0,454,0,,[C400102-A],7,7,7,7,,,,,,,false
400016,2021/06/11,PR,400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,00918,Short Term,72127,true,659,373.1,373.1,265.4,246,-999999,-999999,0,0,443.4,70,41,33.3,28.4,-999999,-999999,0,0,0,4613,2612,2612,1858,1722,18,18,0,0,3104,490,287,233,199,12,12,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,,[C400016-A],7,7,7,7,,,,,,,false
400122,2021/06/11,PR,400122,PROFESSIONAL HOSPITAL GUAYNABO INC,8 AVE LAS CUMBRES,GUAYNABO,00969,Short Term,72061,true,54,54,54,18.9,18.9,-999999,-999999,0,0,54,9.4,9.4,5,5,0,0,0,0,0,378,378,378,132,132,12,12,0,0,378,66,66,35,35,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,,[C400122-A],7,7,7,7,,,,,,,false
400021,2021/05/28,PR,400021,HOSPITAL DE LA CONCEPCION,ROAD NUMBER 2 KM 173.4 CAIN ALTO,SAN GERMAN,00683,Short Term,72125,true,187,143.1,143.1,108.3,107.6,-999999,-999999,0,0,151.4,25,11.7,14.3,9.3,-999999,-999999,-999999,0,0,1309,1002,1002,758,753,11,11,0,0,1060,175,82,100,65,8,8,8,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,-999999,0,0,0,0,0,0,0,-999999,-999999,0,0,-999999,0,0,0,0,0,0,0,640,0,,[C400021-A],7,7,7,7,,,,,,,false
400079,2021/06/11,PR,400079,HOSP COMUNITARIO BUEN SAMARITANO,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,AGUADILLA,00603,Short Term,72005,true,230,139.7,139.7,37,33.7,4.4,0,-999999,0,161,16.6,16.6,8.6,8.6,0,0,0,0,0,1610,978,978,259,236,31,0,4,0,1127,116,116,60,60,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,240,31,0,-999999,0,4,-999999,7,7,9,0,4,508,0,,[C400079-A],7,7,7,7,,,,,,,false
400112,2021/06/04,PR,400112,"HOSPITAL UPR, DR  FEDERICO TRILLA",CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,CAROLINA,00984,Short Term,72031,true,250,192.4,192.4,149.4,137,4.1,-999999,0,0,237,13.6,7.6,10,7.1,-999999,0,0,0,0,1750,1347,1347,1046,959,29,25,0,0,1659,95,53,70,50,-999999,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,,"[C400112-B, C400112-A]",7,7,7,7,,,,,,,false
400124,2021/06/11,PR,400124,CENTRO CARDIOVASCULAR,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",RIO PIEDRAS,00936,Short Term,72127,true,202,121.9,121.9,70.4,63.7,0,0,0,0,133.3,40.1,33.4,28.4,21.7,0,0,0,0,0,1414,853,853,493,446,0,0,0,0,933,281,234,199,152,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,,[C400124-A],7,7,7,7,,,,,,,false
400118,2021/06/04,PR,400118,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7",MANATI,00674,Short Term,72091,true,270,230.4,230.4,224.7,201,4.9,4.9,0,0,261.4,13,13,13,13,-999999,-999999,0,0,0,1890,1613,1613,1573,1407,34,34,0,0,1830,91,91,91,91,-999999,-999999,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,9,-999999,0,0,0,0,0,0,-999999,0,0,0,877,0,,[C400118-A],7,7,7,7,,,,,,,false
400098,2021/06/04,PR,400098,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN,00923,Short Term,72127,true,160,130.9,130.9,55.3,49.1,-999999,-999999,-999999,-999999,157.7,13,8,-999999,-999999,-999999,0,0,0,0,1120,916,916,387,344,-999999,-999999,10,-999999,1104,91,56,21,21,-999999,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,501,0,,[C400098-A],7,7,7,7,,,,,,,false
400048,2021/06/11,PR,400048,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,00785,Short Term,72059,true,161,106.4,106.4,83.3,76.3,-999999,-999999,0,0,122.9,8,8,6.7,6.7,0,0,-999999,0,0,1127,745,745,583,534,8,8,0,0,860,56,56,47,47,0,0,5,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,-999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,,[C400048-A],7,7,7,7,,,,,,,false
